question,answer
"What is the surname of the individual who won the Chemical Industry Medal, an annual American award given to an industrial chemist by the Society of Chemical Industry America, in 1946?",Dow
What is the surname of the individual who won the Melvin Mooney Distinguished Technology Award in 1999?,Isayev
In what year was Scottish mathematician Walter Douglas Munn appointed Thomas Muir Professor of Mathematics?,1973
"What type of engine does the Japanese Type 89 torpedo, completed in 1984, use?",	Swash-plate piston engine
Who won the Margaret Oakley Dayhoff Award in 2005?,Sarah Keller
In what year was the praying mantis species Eremiaphila bovei described by Lefebvre?,1835
What were the year and month the US Food and Drug Administration (FDA) approved the first RSV vaccines?,May 2023.
What battery does the G-Shock GG-B100-8A come with?,CR2025
What is the name of the recipient of the Dickson Prize in Medicine in 1996?,Philippa Marrack
What was the title of the thesis of the Indian mathematician Amalendu Krishna?,Zero Cycles and K-theory on normal surfaces
In which year and month was Dengvaxia approved in the United States?,May 2019
What is the name of the Swedish scientist who received the Shaw Prize in 2022?,Lennart Lindegren
What year was the Briggs & Stratton Raptor III engine released?,1995
What is the first iPad Air's main camera f-stop?,ƒ/2.4 
Who was the recipient of the Eckert–Mauchly Award in 2021?,Margaret Martonosi
What were the month and year when the Indonesian Food and Drug Authority (FDA) approved Qdenga for use in individuals six years to 45 years of age and became the first authority in the world to approve Qdenga?,August 2022
"On which day, month, and year was the domain ""aajtak.in"" registered?","January 6, 2005"
Who were the two people who first described Metformin in scientific literature in 1922?,Emil Werner and James Bell.
"On what day, month, and year did the man who came up with the idea of the iPhone, Jean-Marie Hullot, die?","June 19, 2019"
What surname of a mathematician is engraved on the Eiffel Tower at location NW06?,LAGRANGE
What is the surname of the individual who won the Herman Skolnik Award in 1984?,Hyams
"What is the ChemSpider ID of Sitagliptin, an anti-diabetic medication used to treat Type 2 diabetes?",3571948
The Black Widow Pulsar (PSR B1957+20) is located within which constellation?,Sagitta
What watch company made the world's first computerized diver's watch?,Seiko
"In the research paper titled ""Detecting Driver Mental Fatigue Based on EEG Alpha Power Changes during Simulated Driving"" by Faramarz Gharagozlou et al., what was the age range of the drivers who participated in the overnight study?",20-30 years old
"On what day, month, and year was asteroid 3137 Horky discovered?","September 16, 1982"
"As of August 2017, precisely how many stars were classified by the Henry Draper Catalogue?","359,083"
Who received the SIGMOD Edgar F. Codd Innovations Award in 1995?,David DeWitt
What is the full name of the German chemist who won the Bourke Award in 1965?,Heinz Gerischer
In which city and country was a symposium on tyrosinosis held in biochemist Grace Medes's honor in 1965?,"Oslo, Norway"
What is the signature frequency of a healthy human body in MHz according to Heidi Yellen in 2003?,100
What is the surname of the individual who won the Sir George Stokes Award (colloquially the Stokes Medal) in 2001?,Norris
"In which month and year did American Vice-President Al Gore and Russian Prime Minister Viktor Chernomyrdin announce plans for a new space station, which eventually became the International Space Station?",September 1993.
"On what day, month, and year was the engineer Jacob Pieter Den Hartog born?","July 23, 1901."
Who won the Benjamin Franklin Medal for Computer and Cognitive Science in 2002?,Lucy Suchman
What is the name of the astronomer who discovered 83 Beatrix?,Annibale de Gasparis
What year did Seiko release their first 1000m diver watch?,1986
What is the surname of the individual who won the Applied Inorganic Chemistry Award in 2013?,Barron
"What were the month and year the first spaceport of South Korea, Naro Space Center, was completed at Goheung, South Jeolla Province?",June 2009
What year was John Monteath Robertson awarded the Gregori Aminoff Prize?,1983
In which year was it reported that some lichen and cyanobacteria survived and showed remarkable adaptation capacity for photosynthesis after 34 days in simulated Martian conditions in the Mars Simulation Laboratory (MSL) maintained by the German Aerospace Center (DLR)?,2012
