question,answer
"In what month and year did the Merce Cunningham Dance Company launch its ""Legacy Tour""?",Feb 2010
"In 2015, in what exhibition was Henry Ossawa Tanner's work included?","We Speak: Black Artists in Philadelphia, 1920s-1970s"
Which building in the Republic of Niger won the 1986 Aga Khan Award for Architecture?,Yaama Mosque
From what school did Phyllida Barlow graduate in 1966?,the Slade School of Art 
"The Dante-Alighieri monument, located on Allée des Poètes along Rue D'Auteuil, was created by L'atelier Attitude and inspired by the work of what Italian-born sculptor?",Carlo Balboni
In which Ukrainian city was male impersonator Pepi Litman born?,Ternopil
What is the full title of Zanele Muholi's first publication?,Zanele Muholi: Only Half The Picture
"Who was the father of the Russian stage actress and singer ""Baroness Olga Vadimovna von Root?""",Baron Vadim Nikolayevich von Root
In what major painting exhibition did artist J.C. Leyendecker earn a spot in 1897?,The Salon Champs de Mars
"From what year to what year was Mary Ann Willson, an American folk artist, active?", 1810 to 1825
"Between what dates was the Stanford University exhibition titled ""Eamon Ore-Giron: Non Plus Ultra"" on view? Please give me the full dates (month, day, and year).","23 September, 2021 to 20 February, 2022"
Who designed Buenos Aires's Palais de Glace?,J. L. Ruiz Basadre
"Which architect was tasked with finishing the chapel in the newly built Papal apartment when its construction remained incomplete after Pope Paul IV moved in, in October 1556?",Pirro Ligorio
"What was the age gap between George Frederic Watts and his first wife, Ellen Terry?",30 years. 
"What was the price paid in USD for a piece of Picasso's artwork that sold on March 26th, 2013?",$155 million
"For how many ducats did Giovanni and Alessandro Moscheroni buy Michelangelo's ""Madonna of Bruges"" sculpture in 1504?",100 ducats
Who choreographed Issey Miyake's produced “Aomori University Men’s Rhythmic Gymnastics Team” performance?,Daniel Ezralow
"What was the first and last name of the first female who won all four major performing arts awards: Emmy, Grammy, Oscar, and Tony (EGOT)?", Helen Hayes
"On what day, month, and year did the New Zealand artist George Johnson die?",26 of December of 2021
In what year did the Whitney Museum of American Art devote an entire floor to Julie Mehretu for the first time?,2021.
"On which day, month, and year did Sajood Sailani (a Kashmiri painter) die?",17 November 2020.
"To whom does the garment held by one of the angels in ""The Baptism of Christ"" by Andrea del Verrocchio and Leonardo da Vinci belong?",Jesus
What is the name of Zanele Muholi's first solo exhibition?,"""Visual Sexuality: Only Half the Picture"""
"What day, month, and year did Masaki Tsuji win a Special Award in the 13th Animation Kobe for his writing work?","September 24, 2008"
Who was the first Western artist whose biography was published while he was alive?,Michelangelo Buonarroti
In which year was Dina Nath Walli (an Indian watercolor artist and poet from Srinagar city) born?,1908
Who received the Oskar Kokoschka Prize in 1985?,Gerhard Richter
How many years was Phyllida Barlow's career as a teacher?,40
What year did Jun Takahashi hold his first men's-only runway show?,2009
"On what day, month, and year did engraver George Cooke die?",27 February 1834
Which medal in the 1932 Summer Olympics art competition did Frederick William MacMonnies receive?,Silver 
Which Victoria and Albert Museum director described it as “a refuge for destitute collections”?,Sir Henry Cole
"The Arvida Theatre, built in 1927 in Saguenay, Québec, was built according to the plans of which architect?",Alfred Lamontagne
"As of 2018, what is the street name where the Design Museum of Chicago is located?",Expo 72 (72 E. Randolph St).
What was the first name of Swiss painter Benjamin Samuel Bolomey's mother?,Pernette 
What piece of art by Antonio da Correggio did Augustus III of Poland buy in 1746?,Magdalen in the Desert
"What item did Cornelia Parker dissolve to create ink for her work ""Pornographic Drawings (1997)""?",Videotape
Jackie Ormes was the arts editor for the Monongahela High School yearbook during which academic year?,1929–1930
Who did the International Photography Awards of 2020 give the Nature Photographer of the Year Award to?,Ari Rex
At which art institute did Cornelia Parker have her first solo museum exhibition?, Institute of Contemporary Art Boston
"What year is Anselm Kiefer's ""The Second Sinful Fall of Parmenides (Der zweite Sündenfall des Parmenides)"" dated?",1969
In what year was Pipilotti Rist first awarded the 'St. Galler Kulturpreis der St. Gallischen Kulturstiftung'?,2007
What is the first and last name of the first American transgender person featured in the National Portrait Gallery?,Sylvia Rivera
"What was the muse's name for the sketch ""Serena in the Boat of Apathy,"" purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund in 1996?",Emma Hamilton
"On which day, month, and year was Sunil Das (an Indian expressionist painter) born?",4 August 1939
"Cildo Meireles began working on ""Virtual Spaces"" during what year?",1968
What is the title of the painting Sir William Beechey (British portraitist) painted for the 1798 exhibition of the Royal Academy?,George III and the Prince of Wales Reviewing Troops
"In what year, under the leadership of Superintendent Jim Northup, did Shenandoah National Park establish an Artist-in-Residence Program that is administered by the Shenandoah National Park Trust, the park's philanthropic partner?",2014
During what year did Tatsuo Miyajima have his first solo exhibition?,1983
During which year did Yayoi Kusama have her first exhibition in Spain?,2011
In which Swiss municipality was the painter Jean Preudhomme baptized in 1732?,Rolle
During what year did Isa Genzken divorce Gerhard Richter?,In 1993. 
"The first public showings of ""Another Day in America"" by Laurie Anderson were in which city?",Calgary
In what city did Richard Serra meet composer Philip Glass?,Paris. 
In which year was Greta Garbo awarded the Litteris et Artibus royal medal?,1937
What year did Cornelia Parker have her first solo museum exhibition?,2000
"For which garden was the ""Neptune and Triton"" sculpture carved?",Garden of the Villa Montalto
What year did Kathryn Shaw step down as the Artistic Director of Studio 58?,2020
"Which Salvador Dalí painting was described as ""a vast human body breaking out into monstrous excrescences of arms and legs tearing at one another in a delirium of auto-strangulation""?",Soft Construction with Boiled Beans
In which year was Jamini Roy (an Indian painter) awarded the Padma Bhushan by the Government of India?,1954
"What city was Richard Serra in when he created his work ""To Lift""?",New York
What is the name and surname of the photographer who first invented a tool to coat calotype paper called the Buckle Brush?,Samuel Buckle
