metadata,question,answer
"{'topic': 'Art', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Adil_Hussain', 'https://in.bookmyshow.com/person/adil-hussain/30788#:', 'https://en.wikipedia.org/wiki/en:Adil_Hussain?variant=zh-tw', 'https://www.tring.co.in/popular-celebrities/adil-hussain']}",Adil Hussain was the artistic director and trainer of which organization from 2004 to 2007?,Society for Artists and Performers
"{'topic': 'Music', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Beauty_Marks_(album)', 'https://en.wikipedia.org/wiki/Beauty_Marks_(album)', 'https://www.cdjapan.co.jp/product/WPCR-18213', 'https://www.cede.de/en/music/?view=detail&aid=16795461']}","What day, month, and year was the album ""Beauty Marks"" by Ciara released on CD in Japan?","June 5, 2019"
"{'topic': 'History', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Leo_Strauss', 'https://en.wikipedia.org/wiki/Leo_Strauss#Career', 'https://www.britannica.com/biography/Leo-Strauss', 'https://www.nytimes.com/1973/10/21/archives/dr-leo-strauss-scholar-is-dead-fiddling-and-burning-taught-in.html']}",At what school was Leo Strauss working when he died?,"St. John's College, Annapolis"
"{'topic': 'Video games', 'answer_type': 'Other', 'urls': ['https://liquipedia.net/dota2/The_International/2019', 'https://dotesports.com/dota-2/news/dota-2-7-22f-patch-final-balance-patch-before-the-international-2019', 'https://liquipedia.net/dota2/The_International/2019', 'https://dota2.fandom.com/wiki/The_International_2019']}",What game version was The Dota 2 International 2019 played on?,7.22f
"{'topic': 'Other', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Sanduk_Ruit', 'https://www.hollows.org/uk/latest/dr-sanduk-ruit-receives-asia-society-2016-game-changer-award#:~:text=Sanduk%20Ruit%20Receives%20Asia%20Society%202016%20Game%20Changer%20Award&text=On%20October%2027%2C%202016%2C%20HCP,Nations%20in%20New%20York%20City.', 'https://asiasociety.org/asia-game-changers/2016-asia-game-changer-awards', 'https://en.wikipedia.org/wiki/Sanduk_Ruit#Awards_and_honors']}","On October 27, 2016, Dr. Sanduk Ruit received what award from the Asia Society for bringing the gifts of sight and a productive life to those most in need?",Game Changer Award
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://wikiroulette.co/?p=Anisotenes_cacotechna', 'https://en.wikipedia.org/wiki/Anisotenes_cacotechna', 'https://species.wikimedia.org/wiki/Anisotenes_cacotechna']}",In which country is Anisotenes cacotechna found?, New Guinea
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Royal_Canadian_Geographical_Society#Camsell_Medal', 'https://rcgs.org/past-camsell-medal-winners/', 'https://en.wikipedia.org/wiki/Royal_Canadian_Geographical_Society#Camsell_Medal', 'https://fr.wikipedia.org/wiki/M%C3%A9daille_Camsell']}",What is the name of the individual who was awarded the Camsell Medal in 2012?,Jean Fournier
"{'topic': 'Politics', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Augustine_George_Masih', 'https://en.wikipedia.org/wiki/Augustine_George_Masih', 'https://www.sci.gov.in/judge/justice-augustine-george-masih/', 'https://www.scconline.com/blog/post/2024/03/12/know-your-judge-justice-augustine-george-masih-legal-research/']}",What was Augustine George Masih's position just before being appointed as a judge of the Supreme Court of India?,Former chief justice of the Rajasthan High Court
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Henri_Moissan', 'https://en.wikipedia.org/wiki/Henri_Moissan', 'https://www.lookchem.com/The-Nobel-Prize/Ferdinand-Frederick-Henri-Moissan.html', 'https://comptes-rendus.academie-sciences.fr/chimie/articles/10.1016/j.crci.2016.06.005/']}",With which notable French plant physiologist did Henri Moissan publish his first scientific paper in 1874?, Pierre Paul Dehérain
"{'topic': 'TV shows', 'answer_type': 'Number', 'urls': ['https://www.google.com/search?q=How+many+times+did+Lor+McQuarrie+wore+heels+in+the+show%3F&rlz=1C1ONGR_en__1078__1078&oq=How+many+times+did+Lor+McQuarrie+wore+heels+in+the+show%3F&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyCQgDECEYChigATIJCAQQIRgKGKABMgkIBRAhGAoYoAHSAQgxMTE0ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8', 'https://theweekenders.fandom.com/wiki/Lor_McQuarrie#:~:text=Lor%20has%20only%20worn%20heels,not%20able%20to%20walk%20straight.']}","As of the 2004 ending date of the show, how many times did Lor McQuarrie wear heels in The Weekenders?",3
"{'topic': 'Science and technology', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Allene_Jeanes', 'https://en.wikipedia.org/wiki/Allene_Jeanes#:~:text=Early%20life%20and%20education,-Jeanes%20was%20born&text=Allene%20graduated%20with%20honors%20from,the%20University%20of%20California%2C%20Berkeley.', 'https://kids.kiddle.co/Allene_Jeanes', 'https://ipwatchdog.com/2017/03/04/allene-jeanes-dextran-food-thickening-xanthan-gum/id=79065/']}",From which university did the chemist Allene Rosalind Jeanes obtain a Master's degree in organic chemistry in 1929?,"University of California, Berkeley"
"{'topic': 'TV shows', 'answer_type': 'Date', 'urls': ['https://severance-tv.fandom.com/wiki/Kier_Eagan', 'https://severance-tv.fandom.com/wiki/Kier_Eagan#:~:text=Kier%20was%20born%20in%201841,The%20Youthful%20Convalescence%20of%20Kier%22.', 'https://severance.wiki/revolving', 'https://time.graphics/period/2790307']}","In the show Severance, what year was Kier Eagan born?",1841
"{'topic': 'Music', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/American_Classical_Music_Hall_of_Fame_and_Museum#2005', 'https://en.wikipedia.org/wiki/American_Classical_Music_Hall_of_Fame_and_Museum', 'https://newmusicusa.org/nmbx/news-in-brief-9-20-02/', 'https://classicalwalkoffame.org/browse-inductees/?show_group=year']}",In what year was Pablo Casals inducted into the Classical Music Hall of Fame?,2002.
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Fern%C3%A1ndez_Anchorena_Palace', 'https://en.wikipedia.org/wiki/Fern%C3%A1ndez_Anchorena_Palace', 'https://en.wikipedia.org/wiki/Eduardo_Le_Monnier', 'https://www.stampcommunity.org/topic.asp?topic_id=26283&whichpage=9&SearchTerms=Buildings,on,Stamps']}",Which architect built the Fernández Anchorena Palace?,Eduardo Le Monnier
"{'topic': 'Other', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Ritesh_Batra', 'https://en.wikipedia.org/wiki/Ritesh_Batra', 'https://www.globalindian.com/story/filmmaker/from-mumbai-to-new-york-how-bafta-nominated-director-ritesh-batra-took-over-hollywood/', 'https://jodytinsight.s3.rbx.io.cloud.ovh.net/ritesh-batra-height-weight-family-facts-spouse.html']}",Which university did Ritesh Batra attend but drop out of?,New York University
"{'topic': 'History', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Portugal', 'https://en.wikipedia.org/wiki/Portugal#:~:text=In%201500%2C%20the%20Portuguese%20explorer,Portuguese%20colonies%20of%20the%20Americas.', 'https://pcsp.ca/about-pcsp/heritage/']}",In which year did the Portuguese explorer Gaspar Corte-Real reach Canada and find the town of Portugal Cove-St. Philip's?,1500
"{'topic': 'Other', 'answer_type': 'Other', 'urls': ['https://mathshistory.st-andrews.ac.uk/Biographies/Aitken/', 'https://mathshistory.st-andrews.ac.uk/Biographies/Aitken/', 'https://proofwiki.org/wiki/Mathematician:Alexander_Craig_Aitken', 'https://davegiles.blogspot.com/2011/07/alexander-aitken.html']}",Mathematician Alexander Aitken graduated in 1920 with First Class Honors in what subject?,French and Latin
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Mykines,_Faroe_Islands', 'https://en.wikipedia.org/wiki/Mykines,_Mykines', 'https://www.wikiwand.com/en/Mykines%2C_Mykines#google_vignette']}",What was the recorded population of Mykines in 2012?,14
"{'topic': 'Politics', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Morris_Kight', 'https://en.wikipedia.org/wiki/Morris_Kight#cite_note-glbtq-4', 'https://web.archive.org/web/20141024110242/http://www.glbtq.com/social-sciences/kight_m.html', 'https://www.latimes.com/archives/la-xpm-2003-jan-20-me-kight20-story.html']}",How many children did gay rights activist Morris Kight have?,Two.
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://www.census.gov/quickfacts/fact/table/porthuroncitymichigan/PST040223', 'https://www.census.gov/quickfacts/fact/table/US,porthuroncitymichigan/POP010210', 'https://en.wikipedia.org/wiki/Port_Huron,_Michigan#:~:text=Port%20Huron%20is%20a%20city,28%2C983%20at%20the%202020%20census.']}",What is the population of Port Huron as per the 2020 Census?,"28,983"
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://victorianweb.org/history/pms/perceval.html', 'https://en.wikipedia.org/wiki/Assassination_of_Spencer_Perceval', 'https://en.wikipedia.org/wiki/Spencer_Perceval', 'https://en.wikipedia.org/wiki/Chancellor_of_the_Exchequer']}",In what month and year was Spencer Perceval elected as Chancellor of the Exchequer?,March 1807
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://es.wikipedia.org/wiki/Mutat%C3%A1', 'https://www.familysearch.org/en/wiki/Mutat%C3%A1,_Urab%C3%A1,_Antioquia,_Colombia_Genealogy', 'https://www.wikidata.org/wiki/Q1525997', 'https://www.citypopulation.de/en/colombia/antioquia/mutat%C3%A1/05480000__mutat%C3%A1/']}","In which year was the municipality of Mutatá, Antioquia, Colombia, founded?",1850
"{'topic': 'Other', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Oprah_Winfrey#Personal_life', 'https://en.wikipedia.org/wiki/Oprah_Winfrey#:~:text=In%201997%2C%20Cook%20tried%20to,book%20about%20their%20alleged%20relationship.', 'https://www.chicagotribune.com/1997/01/31/man-sues-oprah-winfrey-says-she-quashed-life-story/', 'https://www.deseret.com/1997/1/31/19292501/lawuit-says-winfrey-ex-boyfriend-did-drugs/']}","How many dollars did Randolph Cook sue Oprah Winfrey for, for blocking a tell-all book about their alleged relationship?",$20 million
"{'topic': 'Geography', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Breng_Valley#:~:text=Breng%20Valley%20(The%20Golden%20Crown,tributary%20of%20famous%20Jhelum%20River.', 'https://en.wikipedia.org/wiki/Breng_Valley#:~:text=Breng%20Valley%20(The%20Golden%20Crown,tributary%20of%20famous%20Jhelum%20River.', 'https://timesofindia.indiatimes.com/travel/destinations/the-golden-crown-of-kashmirkokernag/photostory/82723778.cms']}","Which valley is known as the ""Golden Crown of Kashmir""?",Breng Valley
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/The_Bachelor_(American_TV_series)_season_2', 'https://bleacherreport.com/articles/2713779-every-athlete-in-the-history-of-the-bachelor-ranked', 'https://en.wikipedia.org/wiki/The_Bachelor_(American_TV_series)_season_2', 'https://bachelor-nation.fandom.com/wiki/Lori_Todd']}",Which contestant from Season 2 of The Bachelor was a former NBA cheerleader?,Lori Todd
"{'topic': 'Music', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Rewind_(Johnny_Rivers_album)', 'https://en.wikipedia.org/wiki/Rewind_(Johnny_Rivers_album)#Side_two', 'https://www.discogs.com/release/13199258-Johnny-Rivers-Rewind', 'https://rateyourmusic.com/release/album/johnny_rivers/rewind/']}",What is the second song on Side Two of the album Rewind by Johnny Rivers?,"""For Emily, Whenever I May Find Her"""
"{'topic': 'Science and technology', 'answer_type': 'Other', 'urls': ['https://awards.acm.org/software-system', 'https://en.wikipedia.org/wiki/ACM_Software_System_Award', 'https://awards.acm.org/award-recipients/rashid_NA61614', 'https://cacm.acm.org/news/acm-announces-2014-award-recipients/']}",What is the name of the project that won the 2014 ACM Software System Award?,Mach
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Brown_cuckoo-dove', 'https://en.wikipedia.org/wiki/Brown_cuckoo-dove#:~:text=The%20brown%20cuckoo%2Ddove%20was,in%20New%20South%20Wales%2C%20Australia.', 'https://www.inaturalist.org/taxa/144551-Macropygia-phasianella', 'https://apps.des.qld.gov.au/species-search/details/?id=1791']}",What is the name of the zoologist who formally described the brown cuckoo-dove in 1821?,Coenraad Jacob Temminck
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Pakistan_men%27s_national_field_hockey_team', 'https://en.wikipedia.org/wiki/Pakistan_men%27s_national_field_hockey_team#:~:text=Pakistan%20is%20one%20of%20the,%2C%201982%2C%20and%201994).&text=Pakistan%20national%20team%20has%20played,coming%20in%202014%20and%202023.', 'https://sportstar.thehindu.com/hockey/world-cup-why-is-pakistan-not-playing-in-2023-explained-odisha-qualification-asia-2022-japan-south-korea/article66371250.ece']}","As of 2022, in which years did the Pakistani team not participate in the FIH World Cup?",2014
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Android_Honeycomb', 'https://en.wikipedia.org/wiki/Android_Honeycomb#:~:text=Unsupported%2C%20Google%20Play%20Services%20support%20dropped%20since%20January%202017', 'https://www.gadgets360.com/apps/news/google-play-services-to-discontinue-support-for-android-gingerbread-honeycomb-in-early-2017-1628725#:~:text=in%20Early%202017-,Google%20Play%20Services%20to%20Discontinue%20Support%20for%20Android%20Gingerbread%2C%20Honeycomb%20in%20Early%202017,-By%20Tasneem%20Akolawala']}",In which month and year were Google Play services dropped for Android Honeycomb?,January 2017.
"{'topic': 'Politics', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Asia%E2%80%93Europe_Meeting', ""https://en.wikipedia.org/wiki/Asia%E2%80%93Europe_Meeting#ASEM_Education_Ministers'_Meetings_(ASEMME)"", 'https://aseminfoboard.org/asem_events/2nd-asem-education-ministers-meeting-asem-me2/', 'https://www.highereducation.ac.cy/index.php/en/europaika-themata/asem-education-process']}",In what city was the 2nd ASEM Education Ministers' Meeting held?,Hanoi
"{'topic': 'Geography', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Yepishata', 'https://en.wikipedia.org/wiki/Yepishata', 'https://mapcarta.com/13280582']}","According to the last population update in 2010, what is the population of the rural locality of Yepishata in the Klyapovskoye Rural Settlement of Russia?",33
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://www.ndtv.com/india-news/first-woman-officer-posted-at-siachen-hopes-to-inspire-girls-to-join-army-3840096#:~:text=Captain%20Shiva%20Chauhan%20of%20Fire,battlefield%20of%20the%20world%20Siachen.', 'https://www.ndtv.com/india-news/first-woman-officer-posted-at-siachen-hopes-to-inspire-girls-to-join-army-3840096', 'https://www.hindustantimes.com/india-news/meet-captain-shiva-chauhan-first-woman-officer-deployed-in-siachen-101678101056237.html#google_vignette', 'https://theprint.in/defence/army-deploys-woman-officer-for-the-1st-time-in-siachen-glaciers-kumar-post/1295750/']}","Who is the first woman officer to be operationally deployed to Kumar Post, Siachen?",Captain Shiva Chauhan
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['Who was the recipient of the ISCB Accomplishment by a Senior Scientist Award in 2006?', 'https://en.wikipedia.org/wiki/ISCB_Senior_Scientist_Award', 'https://www.iscb.org/iscb-awards/accomplishment-senior-scientist-award', 'https://www.iscb.org/iscb-awards/1133']}",Who was awarded the ISCB Accomplishment by a Senior Scientist Award in 2010?,Chris Sander
"{'topic': 'History', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Arthur_L._Peterson', 'https://en.wikipedia.org/wiki/Arthur_L._Peterson', 'https://www.dignitymemorial.com/obituaries/menifee-ca/arthur-peterson-11217194', 'https://www.legacy.com/us/obituaries/pressenterprise/name/arthur-peterson-obituary?id=51630046']}","On what day, month, and year was Arthur Laverne Peterson, the American educator, born?","June 27, 1926"
"{'topic': 'Music', 'answer_type': 'Other', 'urls': [""https://en.wikipedia.org/wiki/Shubh#:~:text=Shubhneet%20Singh%20(born%2010%20August,'Still%20Rollin'%20in%202023."", 'https://www.thestatesman.com/entertainment/why-virat-hardik-kl-rahul-have-unfollowed-26-year-old-punjabi-rapper-from-brampton-1503223635.html', 'https://en.wikipedia.org/wiki/Shubh#:~:text=Shubh%20started%20in%202021%20with,Baller%22%20and%20%22Her%22.', 'https://www.business-standard.com/india-news/from-boat-to-virat-kohli-why-is-canadian-singer-shubh-facing-backlash-123092000385_1.html']}",What was the title of the single that Shubh released in 2021 with Irman Thiara?,Don't Look
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Raylene_Keightley', 'https://en.wikipedia.org/wiki/Raylene_Keightley#:~:text=Raylene%20May%20Keightley%20(born%2019,High%20Court%20of%20South%20Africa.', 'https://www.supremecourtofappeal.org.za/index.php/judges/acting-judges-of-the-supreme-court-of-appeal/31-acting-judges/105-keightley-raylene-may', 'https://www.supremecourtofappeal.org.za/index.php/judges/judges-of-the-supreme-court-of-appeal/8-judges']}","On what day, month, and year was Raylene Keightley, Judge of the High Court of South Africa, born?",19 November 1961
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Piasecki_VZ-8_Airgeep', ""https://en.wikipedia.org/wiki/Piasecki_VZ-8_Airgeep#:~:text=The%20AirGeep%20II's%20first%20flight,to%20be%20stable%20in%20flight."", 'https://vertipedia.vtol.org/milestones/getMilestone/milestoneID/103', 'https://commons.wikimedia.org/wiki/File:Piasecki_AIRGEEP_II_%28Army%29,_first_flight.jpg#:~:text=English%3A%20Title%3A-,Piasecki%20AIRGEEP%20II%20(Army)%2C%20first%20flight%20on%2015%20Feb%201962%2C%20over%20grass%20and%20concrete%20mat.,-NHHS%20Photo']}","What day, month, and year did the experimental aircraft AirGeep II have its first flight?","February 15, 1962"
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://timesofindia.indiatimes.com/city/goa/isro-man-conferred-with-first-parrikar-scientist-award/articleshow/105970392.cms', 'https://theprint.in/india/isros-dr-mathavaraj-selected-for-goa-govts-first-manohar-parrikar-yuva-scientist-award/1849921/', 'https://timesofindia.indiatimes.com/city/goa/isro-man-gets-1st-manohar-parrikar-yuva-scientist-award/articleshow/105299742.cms', 'https://www.thehindu.com/sci-tech/science/isros-dr-mathavaraj-selected-for-goa-govts-first-manohar-parrikar-yuva-scientist-award/article67547094.ece']}",Who is the first recipient of the Manohar Parrikar Yuva Scientist Award?,Dr Mathavaraj S
"{'topic': 'TV shows', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/World_War_Zimmerman', 'https://en.wikipedia.org/wiki/World_War_Zimmerman', 'https://southpark.fandom.com/wiki/World_War_Zimmerman#Synopsis']}",In which season and episode of South Park does Cartman shoot Token?,"seventeenth season, third episode"
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Elisabeth_Udolf-Strobl', 'https://en.wikipedia.org/wiki/Elisabeth_Udolf-Strobl', 'https://www.wikidata.org/wiki/Q64223573', 'https://www.ask-oracle.com/birthday/1956/04/12/']}","What day, month, and year was Elisabeth Udolf-Strobl born?",12 April 1956
"{'topic': 'Music', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Clint_Ballard_Jr.#:~:text=In%20addition%20to%20recording%20several,composer%20Burt%20Bacharach%20with%20his', 'https://en.wikipedia.org/wiki/Clint_Ballard_Jr.', 'https://fromthevaults-boppinbob.blogspot.com/2020/05/clint-ballard-jr-born-24-may-1921.html', 'https://en-academic.com/dic.nsf/enwiki/10728960']}","How old was Clint Ballard Jr. when he first played the piano for KTSM, an El Paso radio station?",Three years old.
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/The_Jeffersons', 'https://en.wikipedia.org/wiki/The_Jeffersons#:~:text=Bentley%20also%20had%20a%20bad,J%22.', 'https://the-jeffersons.fandom.com/wiki/The_Jeffersons_(1975_TV_Show)']}","In the series ""The Jeffersons,"" who called George and Louise ""Mr. J"" and ""Mrs. J""?",Harry Bentley
"{'topic': 'Art', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Palazzo_della_Cancelleria', 'https://en.wikipedia.org/wiki/Palazzo_della_Cancelleria#:~:text=The%20Palazzo%20della%20Cancelleria%20was,front%20continuing%20straight%20across%20it.', 'https://antiquatours.wordpress.com/2013/01/29/a-visit-to-palazzo-della-cancelleria/']}",What was the first palace in Rome to be erected from the ground up in the new Renaissance style?,The Palazzo della Cancelleria
"{'topic': 'TV shows', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Fleabag', 'https://www.theguardian.com/tv-and-radio/2019/sep/16/100-best-tv-shows-of-the-21st-century', 'https://www.imdb.com/list/ls095599821/']}",What place was Fleabag ranked in The Guardian's 2019 list of the 100 best TV shows of the 21st century?,8
"{'topic': 'Music', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Cannibal_Corpse', 'https://en.wikipedia.org/wiki/Cannibal_Corpse', 'https://thevogue.com/artists/cannibal-corpse/']}",In which month and year was Bob Rusay dismissed from Cannibal Corpse?,February 1993
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://www.isro.gov.in/PSLVC56_DS_SAR_Mission.html#:~:text=The%20launch%20of%20PSLV%2DC56,at%2006%3A30%20hrs%20IST.', 'https://www.thehindu.com/sci-tech/science/isro-launches-pslv-c56-carrying-singapores-ds-sar-and-six-other-satellites/article67137876.ece#:~:text=Indian%20Space%20Research%20Organisation%E2%80%99s%20(ISRO)%20PSLV%2DC56%20carrying%20Singapore%E2%80%99s%20DS%2DSAR%20satellite%20along%20with%206%20co%2Dpassenger%20satellites%20lifts%20off%20from%20the%20launch%20pad%20at%20Satish%20Dhawan%20Space%20Centre%2C%20in%20Sriharikota%2C%20on%20July%2030%2C%202023.', 'https://euro-sd.com/2023/08/news/33199/iais-d-sar-satellite-successfully-launched-for-singapore/#:~:text=DS%2DSAR%2C%20a%20Singaporean%20synthetic%20aperture%20radar%20(SAR)%20Earth%20observation%20satellite%20developed%20and%20produced%20by%20Israel%20Aerospace%20Industries%20(IAI)%2C%20has%20been%20successfully%20launched%20into%20space%20on%20a%20PSLV%2DC56%20(Polar%20Satellite%20Launch%20Vehicle)%20rocket%2C%20IAI%20announced%20on%2030%20July%202023.']}","On which day, month, and year was the DS-SAR satellite launched from the Satish Dhawan Space Centre in India?","July 30, 2023"
